state,employement_rates
Alabama,10.4
Alaska,17.9
Arizona,14.8
Arkansas,11.6
California,18.6
Colorado,13.1
Connecticut,16
Delaware,14.2
District of Columbia,18.5
Florida,12.3
Georgia,11.5
Hawaii,14.7
Idaho,10
Illinois,15.8
Indiana,10.3
Iowa,10.7
Kansas,9.5
Kentucky,13.2
Louisiana,16
Maine,11.4
Maryland,15.3
Massachusetts,14.9
Michigan,15.1
Minnesota,10.9
Mississippi,16.7
Missouri,12.1
Montana,10.2
Nebraska,7.9
Nevada,19.2
New Hampshire,9.8
New Jersey,15.9
New Mexico,18.5
New York,17.8
North Carolina,13.1
North Dakota,9.9
Ohio,14.8
Oklahoma,10.8
Oregon,14
Pennsylvania,17.7
Puerto Rico,25.2
Rhode Island,14.1
South Carolina,10.9
South Dakota,8.8
Tennessee,12.3
Texas,14.9
Utah,8
Vermont,9.4
Virginia,10.7
Washington,14.6
West Virginia,15.1
Wisconsin,10.6
Wyoming,13.6
